feature_ids	NP_10m_2_trimm_paired_expression	NP_10m_3_trimm_paired_expression	NP_10m_4_trimm_paired_expression	N_10m_2_trimm_paired_expression	N_10m_4_trimm_paired_expression	N_10m_3_trimm_paired_expression	NP_1hr_1_trimm_paired_expression	NP_1hr_2_trimm_paired_expression	NP_1hr_3_trimm_paired_expression	N_1hr_2_trimm_paired_expression	N_1hr_3_trimm_paired_expression	N_1hr_4_trimm_paired_expression
3825_gene	0.0	0.0	0.0	0.12604775520593936	0.0	0.0	0.0	0.0	0.0	0.16302720310474958	0.18925780439047332	0.0
3826_gene	0.0	0.06851810732805612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3827_gene	0.0	0.0	0.0	0.0	0.0	0.0425925115101463	0.0	0.0	0.0	0.0	0.07913025863176368	0.0
3828_gene	2.7674692061452912	1.6908457056132886	2.209122989631313	2.781436095647345	2.326417693828658	1.7165076477791945	2.954641708624459	3.4947354768791983	2.0321812650010873	3.1835376470483694	2.9408081607354637	2.2640853869400965
3829_gene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
382_gene	4.064471690428643	4.219142648544617	4.0126400913968885	4.454945739389207	4.266420986660846	4.762591990793892	3.430289020232761	3.9698735217641294	4.26329857517589	4.038310273978055	3.3844304677626145	4.133646294213796
3830_gene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3831_gene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3832_gene	0.1699955314758134	0.0	0.12444460476274996	0.0	0.0804393667298946	0.0	0.0	0.16607653341492024	0.08769365399235465	0.0	0.11737455591866013	0.0
3833_gene	0.2712368105277599	0.0	0.21930670272773653	0.7851228061495281	0.5050677491644971	0.4963038310518735	0.20626812452098273	0.26113842104404533	0.15709934663937494	0.31812938727524875	0.9531959432828464	0.4113785166799659
3834_gene	6.902192005720143	5.44146628240653	7.0705384738097	5.943223151973363	6.572510107866118	5.258003223595365	6.313684508074714	7.075955986348477	6.160637617945457	5.187852213164681	6.725891892813243	5.492316671968462
3835_gene	3.0782851576260706	4.1117241071787385	3.642851839927748	4.720594116018311	4.770008907703359	5.104549986765006	4.4923114158261646	4.643081081232573	3.7322773410983467	5.072732876277489	4.996655294985333	4.873286508699625
3836_gene	0.0	0.0	0.0	0.0	0.0	0.08503435513347786	0.0	0.0	0.0	0.0	0.0	0.0
3837_gene	2.1298758015864796	1.0078205338413395	1.4863761172721928	1.7734347459139144	1.3871463409765692	0.8708878421310775	1.3267984822200618	0.0	1.4376570739164296	1.9720036715495972	1.405431505052833	0.9268571874008715
3838_gene	0.9555560842611444	1.426674824421922	0.48030752322109854	1.622375181250508	1.443197653110598	1.118077937635045	2.05434040611223	1.6409373793460174	2.195367443117518	1.4580737972961382	1.2938801346493711	1.0103143781778587
3839_gene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05124818821282852	0.0
383_gene	2.8993297546802705	3.7171754159166883	2.8358123317817134	3.4918805393343293	3.148337059830438	3.9962423904483493	2.640156766420706	2.803450450845648	0.0	3.0874786259450238	2.1595607304485793	2.0200861075841194
3840_gene	0.0	0.0	0.0	0.182965557480307	0.0	0.0	0.0	0.0	0.336795239532016	0.3066787118612098	0.0	0.0
3841_gene	0.8455342092819897	0.8381022322478342	0.42223838386345575	1.003332380700192	0.5367850065559038	0.47502156904332776	0.8260419933668769	0.22762033285834596	1.557175769525477	0.7102097852075011	0.23120627838660848	0.48731243340124447
3842_gene	9.736633973451935	9.56636858562586	9.482550228651013	8.61232668292129	8.823736325306111	8.049927465432956	11.04988842308502	10.466492989781248	11.133003575978421	9.147363012248158	9.027847967002304	8.373118577889931
